Activation,nLayer,nHiddenNeuron,Loss,RSquare,Misclassification
logistic,1,1,0.6665174278478053,-1.0,0.5
logistic,1,2,0.5856441147541425,-0.3600000000000001,0.33999999999999997
logistic,1,3,0.3879460793918809,0.12,0.21999999999999997
logistic,1,4,0.01976664213990339,1.0,0.0
logistic,1,5,0.05869127027106907,0.96,0.010000000000000009
logistic,1,6,0.051683867008104546,0.96,0.010000000000000009
logistic,1,7,0.006850665532177575,1.0,0.0
logistic,1,8,0.03590006414384669,0.96,0.010000000000000009
logistic,1,9,0.00270664979653444,1.0,0.0
logistic,1,10,0.6291480288406727,-0.08000000000000007,0.27
logistic,2,1,0.5763241917633912,-0.3999999999999999,0.35
logistic,2,2,0.5773040674105432,-0.3999999999999999,0.35
logistic,2,3,0.3610122389459227,0.43999999999999995,0.14
logistic,2,4,0.0013828166657002122,1.0,0.0
logistic,2,5,0.6626723981424988,-0.9199999999999999,0.48
logistic,2,6,0.0013416306450462537,1.0,0.0
logistic,2,7,0.0055349268402469145,1.0,0.0
logistic,2,8,0.0012051665357042862,1.0,0.0
logistic,2,9,0.0007911030808247901,1.0,0.0
logistic,2,10,0.001066325784340205,1.0,0.0
logistic,3,1,0.5764625635556412,-0.3999999999999999,0.35
logistic,3,2,0.6931400087027345,-1.08,0.52
logistic,3,3,0.003956140271133642,1.0,0.0
logistic,3,4,0.44592548946770744,0.12,0.21999999999999997
logistic,3,5,0.007120863857427119,1.0,0.0
logistic,3,6,0.0006059234349204143,1.0,0.0
logistic,3,7,0.0007540003766404347,1.0,0.0
logistic,3,8,0.0009365191390055464,1.0,0.0
logistic,3,9,0.0006293916466108539,1.0,0.0
logistic,3,10,0.4891645066854851,-0.32000000000000006,0.32999999999999996
logistic,4,1,0.6931579606353401,-1.2400000000000002,0.56
logistic,4,2,0.6931803887006248,-0.96,0.49
logistic,4,3,0.6931666641876988,-0.96,0.49
logistic,4,4,0.6931580647439816,-1.0,0.5
logistic,4,5,0.4836572377259684,-0.19999999999999996,0.30000000000000004
logistic,4,6,0.6931472818437057,-0.96,0.49
logistic,4,7,0.6931684519188803,-1.0,0.5
logistic,4,8,0.6931480209209608,-1.0,0.5
logistic,4,9,0.6931661587374937,-1.2400000000000002,0.56
logistic,4,10,0.6931570987958847,-1.0,0.5
logistic,5,1,0.6931481030038942,-1.0,0.5
logistic,5,2,0.6931467511462821,-1.04,0.51
logistic,5,3,0.693149240645975,-1.0,0.5
logistic,5,4,0.6931491717740561,-0.96,0.49
logistic,5,5,0.6931470249938466,-1.0,0.5
logistic,5,6,0.6931525631358704,-1.0,0.5
logistic,5,7,0.6931529603487809,-0.96,0.49
logistic,5,8,0.6931530253701196,-1.0,0.5
logistic,5,9,0.6931548623704488,-1.0,0.5
logistic,5,10,0.6931527748902244,-1.0,0.5
